city,date_day,pm2_5,pm10,us_aqi,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,carbon_dioxide,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,surface_pressure,country,lat,lon
Chicago,2025-11-07,3.0875,3.204166666666667,27.925942375,59.166666666666664,14.420833333333334,5.375,214.75,453.5416666666667,12.270666708333332,56.291666666666664,0.10833333333333332,15.0356685625,975.5551112500001,US,41.8781,-87.6298
Chicago,2025-11-08,2.970833333333333,3.0083333333333333,26.261498083333333,59.958333333333336,10.362499999999999,2.2958333333333334,189.58333333333334,447.0,8.6810832375,70.25,0.02916666666666667,10.070024691666667,979.9955004166667,US,41.8781,-87.6298
Chicago,2025-11-09,4.108333333333333,4.345833333333333,31.056740625,66.91666666666667,6.054166666666667,1.675,169.04166666666666,443.3333333333333,2.187333269583333,73.20833333333333,0.5583333333333333,18.0102701875,985.8060283333333,US,41.8781,-87.6298
Chicago,2025-11-10,2.783333333333333,3.375,31.96264275,68.08333333333333,5.408333333333334,1.55,157.0,442.2916666666667,-1.4882291693333334,68.04166666666667,0.3416666666666666,20.051651500000002,993.0604616666666,US,41.8781,-87.6298
Chicago,2025-11-11,5.9125000000000005,6.2250000000000005,25.04042158333333,50.583333333333336,14.475,2.9,202.125,449.3333333333333,-1.2140000333333332,72.16666666666667,0.0,16.706650791666664,986.3720591666666,US,41.8781,-87.6298
Chicago,2025-11-12,4.516666666666667,4.608333333333333,26.875774500000002,51.75,14.641666666666666,2.6916666666666664,207.20833333333334,452.0,5.181833216666667,62.541666666666664,0.0,18.698756,981.1357291666667,US,41.8781,-87.6298
Chicago,2025-11-13,6.179166666666667,6.3125,24.517404875,47.125,20.3875,4.545833333333333,259.5,457.9583333333333,6.358916605,55.125,0.0,10.380318391666668,990.5344054166667,US,41.8781,-87.6298
Chicago,2025-11-14,11.9625,12.0875,39.40065129166667,32.0,33.30833333333333,6.529166666666666,322.25,472.0416666666667,9.773499975,58.458333333333336,0.0,9.892078620833333,987.1325691666666,US,41.8781,-87.6298
Chicago,2025-11-15,7.7749999999999995,7.8500000000000005,46.24204175,54.583333333333336,20.075,3.8249999999999997,242.625,466.8333333333333,15.369333083333332,77.54166666666667,0.0,17.326924316666666,974.8045162499999,US,41.8781,-87.6298
Chicago,2025-11-16,2.3125,2.370833333333333,29.172504,63.5,9.541666666666666,2.4833333333333334,188.33333333333334,450.0416666666667,6.7630833458333335,43.833333333333336,0.0,16.1021019375,980.9543954166667,US,41.8781,-87.6298
Chicago,2025-11-17,5.616666666666667,5.7,25.749362208333334,52.791666666666664,19.712500000000002,5.3374999999999995,244.20833333333334,456.75,3.0672500316666667,50.791666666666664,0.0,7.226086316666667,987.5779254166667,US,41.8781,-87.6298
Chicago,2025-11-18,8.137500000000001,8.220833333333333,36.50127704166667,47.083333333333336,28.125,5.566666666666666,217.08333333333334,451.8333333333333,4.7922501375,79.83333333333333,0.2625,15.420200262500002,987.2203304166666,US,41.8781,-87.6298
Chicago,2025-11-19,7.945833333333333,8.070833333333333,27.545719791666667,54.0,14.954166666666666,3.6625,217.75,449.5,5.623500125,88.5,0.0,11.720581279166666,991.30836,US,41.8781,-87.6298
Chicago,2025-11-20,19.037499999999998,19.1375,53.429837041666666,12.875,34.87083333333333,9.625,325.9583333333333,475.9166666666667,6.050583445833333,92.5,0.0,6.217046229166667,990.0780366666667,US,41.8781,-87.6298
Chicago,2025-11-21,15.9,15.966666666666667,61.84249491666667,18.583333333333332,25.025000000000002,5.3999999999999995,328.9166666666667,485.2916666666667,6.8422501166666665,86.25,0.0,7.589005183333334,987.3561804166667,US,41.8781,-87.6298
Chicago,2025-11-22,10.850000000000001,11.0875,50.637034666666665,34.5,26.9375,5.916666666666667,302.1666666666667,466.5,4.34016674875,79.91666666666667,0.0,8.283377025,987.4899083333333,US,41.8781,-87.6298
Chicago,2025-11-23,8.0125,8.375,37.61646445833333,39.75,20.258333333333333,4.7749999999999995,262.9583333333333,463.1666666666667,6.396416725000001,71.29166666666667,0.0,9.999040570833333,988.9059516666666,US,41.8781,-87.6298
Chicago,2025-11-24,17.166666666666668,17.920833333333334,53.844826041666664,20.958333333333332,42.72083333333333,8.729166666666666,349.9583333333333,480.5833333333333,4.540166605833334,74.875,0.0,9.1479368625,989.8026879166667,US,41.8781,-87.6298
Chicago,2025-11-25,15.15,15.1625,57.828385,15.75,36.32083333333333,11.566666666666668,349.375,481.0833333333333,8.325583254166666,91.5,0.17083333333333336,7.732636679166666,980.9238204166667,US,41.8781,-87.6298
Chicago,2025-11-26,5.629166666666666,5.666666666666667,46.372989708333336,52.583333333333336,11.137500000000001,2.404166666666667,224.08333333333334,454.2083333333333,2.89641653875,78.45833333333333,0.020833333333333332,30.356501270833334,978.8858183333333,US,41.8781,-87.6298
Chicago,2025-11-27,2.9125,3.1,33.31304108333333,72.33333333333333,4.3125,1.2333333333333334,167.95833333333334,446.4583333333333,-1.0702500129166668,65.79166666666667,0.0,23.689160583333333,991.5949183333333,US,41.8781,-87.6298
Chicago,2025-11-28,3.841666666666667,4.029166666666667,32.82747666666667,70.375,6.229166666666667,1.8375000000000001,177.16666666666666,447.0416666666667,-2.8244166833333337,65.375,0.0,16.1848948125,996.9823137499999,US,41.8781,-87.6298
Chicago,2025-11-29,6.345833333333334,6.408333333333334,25.742090208333334,49.208333333333336,21.849999999999998,7.508333333333333,253.125,459.0,-2.220250045833333,79.625,0.57500000625,13.252451370833333,996.1895866666667,US,41.8781,-87.6298
